id,station_name,altitude,coord_lng,coord_lat
"MGL","Magglingen","883",2583037,1221116
"GRE","Grenchen","428",2598219,1225350
"AIE","Affoltern i. E.","755",2622940,1212500
"WHF","Riedholz / Wallierhof","518",2609394,1231491
"BAW","Barmelweid","777",2640058,1252430
"UNK","Unterkulm","454",2650839,1241212
"MUR","Muri, AG","577",2667277,1235323
"UBB","Bözberg","536",2652250,1259223
"OED","Ehrendingen","428",2667833,1262320
"BRI","Brig","665",2640567,1129069
"BEC","Bernina / Curtinatsch","2090",2795796,1146486
"MOA","Mosen","453",2660129,1232852
"CEV","Cevio","417",2689688,1130564
"CRM","Cressier","430",2571163,1210798
"CMA","Crap Masegn","2468",2732824,1189378
"GEN","Monte Generoso","1600",2722503,1087455
"BIE","Bière","684",2515887,1153211
"ORO","Oron","828",2555505,1158053
"BRL","La Brévine","1050",2536981,1203975
"BAN","Bantiger","942",2606850,1202975
"EGO","Egolzwil","522",2642913,1225541
"STK","Steckborn","397",2715872,1280916
"DIA","Les Diablerets","2964",2581913,1130622
"BRZ","Brienz","567",2647553,1176803
"SPF","Schüpfheim","744",2643684,1199711
"QUI","Quinten","419",2734849,1221278
"VAB","Valbella","1568",2761636,1180385
"PMA","Piz Martegnas","2668",2760262,1160570
"NAS","Naluns / Schlivera","2380",2815375,1188987
"ATT","Les Attelas","2734",2586854,1105302
"EVI","Evionnaz","482",2568196,1114693
"GOR","Gornergrat","3129",2626899,1092512
"EGH","Eggishorn","2892",2650279,1141897
"GIH","Giswil","471",2657323,1188976
"GES","Gersau","521",2682510,1205572
"FIT","Fieschertal","1175",2653990,1142082
"SRS","Schiers","626",2769618,1205125
"VIO","Vicosoprano","1089",2768487,1135866
"OBR","Oberriet / Kriessern","409",2764171,1249582
"VSARO","Arolla","2005",2603507,1095832
"VSGDX","Barrage Grande Dixence","2162",2597254,1103580
"VSBRI","Bricola","2431",2609886,1099430
"VSFIN","Findelen","2170",2626316,1095547
"VSSTA","Stafel","2183",2618600,1094808
"VSFLY","La Fouly","1564",2573452,1087284
"VSEMO","Emosson","1923",2560663,1101691
"VSTUR","Turtmann","2180",2619599,1113183
"VSMOI","Moiry","2127",2610168,1109590
"VSSFE","Salanfe","1965",2564019,1110569
"VSCLU","Clusanfe","1926",2557236,1109533
"ROG","Rossberg","1129",2684238,1214223
"VSDUR","Durnand","1214",2572571,1100083
"VSTRI","Trient","1329",2565633,1099517
"VSSOR","Sorniot-Lac Inférieur","1990",2573829,1112848
"VSDER","Derborence","1366",2584114,1126364
"VSTSN","Tsanfleuron","2052",2589460,1129932
